ITM Prob.,CallIV,CallDelta,CallOI,CallLTP,StrikePrice,PutLTP,PutOI,PutDelta,PutIV,ITM Prob.
99.9,34.01,93.18,"21,900",1034.3,24100,2.45,"3,840,975",-1.45,23.07,0
99.9,32.94,92.78,"4,950",985.05,24150,2.55,"1,720,275",-1.56,22.19,0
99.9,31.9,92.33,"40,800",935.95,24200,2.7,"6,581,250",-1.69,21.36,0
99.9,31.03,91.71,"7,200",887.45,24250,2.8,"1,345,725",-1.82,20.45,0
99.9,29.35,91.6,"44,400",836.5,24300,2.95,"6,401,025",-1.98,19.57,0
99.9,27.82,91.35,"9,375",786.05,24350,3.05,"2,083,950",-2.14,18.62,0
99.8,27.01,90.49,"82,875",738.05,24400,3.3,"4,788,225",-2.38,17.79,0.1
99.6,25.31,90.29,"32,025",687.05,24450,3.55,"3,239,250",-2.66,16.92,0.3
99.3,24.15,89.56,"562,425",638.05,24500,4,"10,782,075",-3.08,16.16,0.6
98.9,23.15,88.55,"32,025",589.85,24550,4.4,"3,216,900",-3.51,15.31,1
98.1,21.37,88.21,"312,825",538.65,24600,5,"6,567,225",-4.11,14.51,1.8
97,20.32,86.95,"53,625",490.6,24650,5.75,"3,414,600",-4.87,13.72,2.9
95.3,18.8,86.04,"459,825",440.75,24700,6.65,"6,452,400",-5.81,12.91,4.6
93,17.56,84.56,"131,850",392.35,24750,8.05,"5,833,950",-7.19,12.18,6.9
89.8,16.24,82.83,"1,248,975",344,24800,9.85,"10,375,425",-8.99,11.43,10.1
85.7,15.08,80.43,"565,050",296.95,24850,12.65,"4,787,475",-11.61,10.78,14.2
80.6,13.91,77.39,"1,757,175",250.7,24900,16.5,"10,768,050",-15.17,10.12,19.3
74.5,12.73,73.51,"940,200",205.5,24950,21.9,"7,543,950",-20.01,9.48,25.4
67.6,11.82,68.07,"5,488,950",163.8,25000,29.8,"17,926,575",-26.66,8.87,32.3
60,10.98,61.15,"2,241,600",125.2,25050,41.2,"7,687,575",-35.48,8.29,39.9
52,10.36,52.6,"8,268,825",91.85,25100,57.65,"12,381,300",-46.64,7.78,47.9
44,10,43.04,"6,219,000",65.1,25150,80.9,"3,805,575",-59.5,7.37,55.9
36.2,9.74,33.41,"9,993,150",44.1,25200,109.95,"3,440,850",-73.12,6.8,63.7
29,9.58,24.58,"4,542,900",28.7,25250,144.45,"643,200",-87.38,5.78,70.9
22.5,9.51,17.19,"9,040,275",18,25300,183.55,"1,168,875",0,0,77.4
17,9.63,11.81,"5,546,925",11.45,25350,227.05,"124,575",0,0,82.9
12.4,9.79,7.92,"6,486,825",7.2,25400,272.35,"247,650",0,0,87.5
8.8,10.04,5.34,"4,669,950",4.65,25450,319.35,"60,000",0,0,91.1
6,10.52,3.86,"12,006,000",3.35,25500,368.05,"448,650",0,0,93.9
4,10.88,2.7,"2,874,975",2.3,25550,417.9,"14,550",0,0,95.9
2.5,11.4,2.03,"6,567,300",1.75,25600,465.65,"38,250",0,0,97.4
1.5,12.04,1.64,"1,863,600",1.45,25650,516.55,"6,600",0,0,98.4
0.9,12.72,1.36,"4,493,400",1.25,25700,565.45,"29,325",0,0,99
0.5,13.41,1.16,"1,747,275",1.1,25750,617.95,"2,925",0,0,99.4
0.3,14.13,1.02,"4,620,150",1,25800,667,"22,800",0,0,99.6
0.1,14.92,0.92,"2,231,625",0.95,25850,-,-,-,-,-
0,15.68,0.84,"3,753,975",0.9,25900,766.4,"11,325",0,0,99.9
0,16.43,0.77,"1,280,925",0.85,25950,-,-,-,-,-
0,17.15,0.7,"13,013,100",0.8,26000,864.4,"98,775",0,0,99.9
0,17.71,0.6,"1,652,100",0.7,26050,906.45,600,0,0,99.9
