ITM Prob.,CallIV,CallDelta,CallOI,CallLTP,StrikePrice,PutLTP,PutOI,PutDelta,PutIV,ITM Prob.
98.1,12.79,95.88,"69,075",1033.6,24400,13.7,"1,305,225",-5.05,13.56,1.8
97.5,13.39,94.28,"14,475",989.05,24450,14.7,"158,250",-5.49,13.21,2.4
96.9,13.06,93.74,"1,440,525",940.35,24500,16.1,"4,556,325",-6.05,12.92,3
96.1,12.68,93.22,"92,025",891.45,24550,17.65,"272,400",-6.68,12.61,3.8
95.1,11.86,93.35,"437,100",839.9,24600,19.3,"1,541,850",-7.36,12.3,4.8
94,11.99,91.84,"54,975",794.65,24650,21.45,"391,725",-8.2,12.02,5.9
92.7,11.44,91.41,"1,293,975",744.95,24700,23.75,"2,334,825",-9.12,11.73,7.2
91.2,11.32,90.05,"105,975",698.85,24750,26.35,"295,725",-10.16,11.43,8.7
89.5,10.91,89.12,"1,040,700",650.7,24800,29.25,"2,379,600",-11.33,11.12,10.4
87.5,10.76,87.46,"66,975",605.4,24850,33.1,"344,925",-12.78,10.87,12.4
85.3,10.59,85.66,"1,171,125",560.55,24900,37.25,"2,418,450",-14.36,10.6,14.6
82.8,10.38,83.7,"74,325",516.1,24950,42.5,"383,625",-16.26,10.36,17.1
80.1,9.99,81.91,"3,786,300",470.3,25000,48.15,"5,685,300",-18.33,10.09,19.8
77.2,9.82,79.35,"140,550",427.9,25050,55.6,"425,625",-20.83,9.9,22.7
74.1,9.62,76.54,"1,382,400",386.4,25100,63.25,"3,575,775",-23.49,9.63,25.8
70.7,9.48,73.29,"235,425",347.1,25150,73.6,"970,800",-26.7,9.47,29.2
67.2,9.25,69.89,"2,320,200",307.95,25200,85.7,"2,058,900",-30.25,9.32,32.7
63.5,9.18,65.88,"257,550",273.05,25250,99.75,"321,375",-34.13,9.18,36.4
59.7,9.09,61.63,"1,922,925",240,25300,116.9,"2,098,050",-38.38,9.11,40.2
55.8,8.98,57.19,"310,500",208.55,25350,134.7,"269,550",-42.79,8.96,44.1
51.8,8.84,52.56,"1,703,325",178.75,25400,155.25,"1,381,950",-47.44,8.83,48.1
47.8,8.8,47.78,"330,375",153.3,25450,179.6,"156,675",-52.22,8.78,52.1
43.9,8.8,43.04,"4,444,125",130.95,25500,206.6,"1,942,950",-57.01,8.75,56
40,8.74,38.32,"379,800",109.85,25550,234.95,"38,550",-61.79,8.66,59.9
36.3,8.74,33.82,"2,064,675",92.05,25600,267.2,"208,725",-66.33,8.65,63.6
32.6,8.7,29.47,"288,000",75.9,25650,301.9,"15,975",-70.61,8.66,67.3
29.2,8.69,25.44,"2,677,800",62.25,25700,337.3,"160,650",-74.82,8.59,70.7
25.9,8.73,21.84,"341,100",51.25,25750,377.2,"13,125",-78.28,8.68,74
22.8,8.76,18.59,"2,005,200",41.85,25800,416.4,"71,250",-81.87,8.6,77.1
20,8.82,15.74,"345,000",34.2,25850,459.7,"9,300",-84.53,8.72,79.9
17.4,8.91,13.32,"879,150",28.1,25900,499.55,"27,450",-88.14,8.38,82.5
15,9.01,11.24,"251,250",23.1,25950,567.05,"12,000",-84.57,10.71,84.9
12.8,9.15,9.54,"5,562,150",19.25,26000,595.35,"1,420,425",-90.61,9.09,87.1
10.9,9.24,7.98,"144,975",15.7,26050,659.05,"1,200",-87.58,11.23,89
9.2,9.36,6.7,"816,600",12.95,26100,684,"79,050",-95.42,8.33,90.7
7.7,9.5,5.65,"186,900",10.75,26150,720,"2,100",0,0,92.2
6.4,9.64,4.76,"620,925",8.95,26200,778,"58,350",-98.8,7.14,93.5
5.2,9.8,4.05,"88,425",7.55,26250,829.3,"2,850",-98.1,8.25,94.7
4.3,9.97,3.46,"829,200",6.4,26300,877.9,"14,550",-98.97,7.84,95.6
3.5,10.14,2.96,"81,975",5.45,26350,922.35,"2,775",0,0,96.4
