ITM Prob.,CallIV,CallDelta,CallOI,CallLTP,StrikePrice,PutLTP,PutOI,PutDelta,PutIV,ITM Prob.
100,0,0,225,2270.05,22850,0.15,"3,104,100",-0.07,178.75,0
100,0,0,"3,600",2227.5,22900,0.15,"1,146,600",-0.07,175,0
-,-,-,-,-,22950,0.15,"197,475",-0.07,171.25,0
100,217.01,99.29,"15,150",2165,23000,0.15,"2,078,850",-0.08,167.51,0
-,-,-,-,-,23050,0.2,"159,450",-0.1,167.64,0
100,0,0,75,1590,23100,0.15,"527,025",-0.08,160.02,0
100,0,0,0,1985.25,23150,0.15,"119,100",-0.08,156.29,0
100,0,0,"1,500",1900,23200,0.15,"674,925",-0.08,152.55,0
100,0,0,75,1624.55,23250,0.2,"418,725",-0.11,152.38,0
100,242.8,97.02,75,1875,23300,0.2,"669,300",-0.11,148.57,0
-,-,-,-,-,23350,0.25,"259,650",-0.14,147.56,0
100,0,0,300,1684,23400,0.2,"2,165,400",-0.12,140.96,0
100,0,0,375,1660,23450,0.2,"3,000,900",-0.12,137.15,0
100,0,0,"28,200",1657.45,23500,0.2,"4,563,150",-0.12,133.34,0
100,0,0,375,1569.45,23550,0.2,"485,475",-0.13,129.53,0
100,190.86,97.68,"2,175",1570,23600,0.2,"2,297,325",-0.13,125.73,0
100,230.23,94.55,600,1535.9,23650,0.2,"902,100",-0.13,121.92,0
100,150.38,99.07,"7,350",1464.85,23700,0.2,"2,576,400",-0.14,118.11,0
100,0,0,975,1383.45,23750,0.2,"638,925",-0.14,114.3,0
100,222.89,93.16,"5,025",1392,23800,0.25,"3,689,625",-0.18,112.71,0
100,0,0,"1,125",1245.6,23850,0.25,"811,800",-0.18,108.84,0
100,179.57,95.55,"9,525",1277,23900,0.2,"2,703,075",-0.16,102.86,0
100,0,0,"4,425",1140,23950,0.25,"787,500",-0.2,101.07,0
100,147.88,97.09,"83,625",1170,24000,0.25,"9,210,375",-0.2,97.18,0
100,146.21,96.65,"11,025",1121.15,24050,0.25,"1,722,675",-0.21,93.29,0
