symbol,token,strategy,spot_price,assigned_date,status
NIFTY14OCT25P24750,42660,IBBM Intraday,24831.8,2025-10-03 10:00:40,Active
NIFTY14OCT25C25050,42677,IBBM Intraday,24831.65,2025-10-03 10:00:43,Active
NIFTY30SEP25C24650,60455,Monthly Straddle,24894.25,2025-10-03 21:52:11,Active
NIFTY30SEP25P25500,60500,Monthly Straddle,24894.25,2025-10-03 21:52:11,Active
NIFTY30SEP25C26200,60566,Monthly Straddle Hedge,24894.25,2025-10-03 21:52:11,Active
NIFTY30SEP25P23850,60358,Monthly Straddle Hedge,24894.25,2025-10-03 21:52:11,Active
NIFTY14OCT25C25000,42673,IBBM Intraday,24818.15,2025-10-03 14:17:20,Active
NIFTY14OCT25P24650,42652,IBBM Intraday,24820.0,2025-10-03 14:17:30,Active
NIFTY14OCT25P24850,42668,IBBM Intraday,24875.25,2025-10-03 14:42:01,Active
NIFTY14OCT25C25150,42685,IBBM Intraday,24894.25,2025-10-03 18:14:50,Active
