symbol,token,strategy,spot_price,assigned_date,status,net_qty,save_time
NIFTY14OCT25C24950,42671,IBBM Intraday,25000.15,2025-10-08 15:34:07,Active,-75,2025-10-09 15:38:46
NIFTY14OCT25P23950,42608,IBBM Intraday,25083.65,2025-10-09 09:42:05,Active,150,2025-10-09 15:38:46
NIFTY14OCT25C25850,42723,IBBM Intraday,25087.4,2025-10-09 09:42:37,Active,150,2025-10-09 15:38:46
NIFTY14OCT25C25200,42687,IBBM Intraday,25082.45,2025-10-09 10:52:17,Active,-75,2025-10-09 15:38:46
NIFTY14OCT25P25300,42694,IBBM Intraday,25179.1,2025-10-09 15:20:41,Active,-75,2025-10-09 15:38:46
NIFTY14OCT25P25350,42702,IBBM Intraday,25180.15,2025-10-09 15:21:02,Active,-75,2025-10-09 15:38:46
NIFTY14OCT25P25050,42678,IBBM Intraday,25055.2,2025-10-09 09:56:26,Inactive,0,2025-10-09 15:38:46
NIFTY14OCT25P25250,42692,IBBM Intraday,25126.9,2025-10-09 11:01:46,Inactive,0,2025-10-09 15:38:46
NIFTY14OCT25P25200,42690,IBBM Intraday,25144.35,2025-10-09 12:48:27,Inactive,0,2025-10-09 15:38:46
NIFTY14OCT25C25100,42679,IBBM Intraday,25181.8,2025-10-09 15:38:44,Inactive,0,2025-10-09 15:38:46
NIFTY14OCT25P25150,42686,IBBM Intraday,25181.8,2025-10-09 15:38:46,Inactive,0,2025-10-09 15:38:46
